Datum,Datum,luftfeuchtigkeiit,niederschlag10min,cbar20cm,cbar35cm,temp2m,bodentemp20cm,bodentemp35cm,mm,sliding7,sliding13,sliding20,sliding25,sliding30,tempslide25,tempslide7,value
2020-07-14,14.07.20 00:00,70,0.0,23.1,10.4,18.0,18.8,18.7,0.0,23.199999999999974,26.09999999999999,54.19999999999994,54.19999999999993,102.49999999999994,18.82399999999999,18.814285714285717,117.0
2020-07-15,15.07.20 00:00,85,1.7,25.2,10.9,16.5,18.8,18.6,1.4000000000000006,24.599999999999977,24.799999999999994,55.59999999999994,55.59999999999993,103.89999999999995,18.83599999999999,18.58571428571429,112.0
2020-07-16,16.07.20 00:00,92,8.9,24.1,11.2,15.9,18.3,18.3,7.599999999999997,32.199999999999974,32.19999999999999,63.09999999999993,63.199999999999925,111.49999999999994,18.763999999999992,17.84285714285715,119.0
2020-07-17,17.07.20 00:00,90,1.8,24.2,11.4,16.3,18.2,18.1,1.8000000000000003,23.69999999999997,33.999999999999986,64.09999999999994,64.99999999999993,91.49999999999993,18.635999999999992,17.100000000000005,119.0
2020-07-18,18.07.20 00:00,73,0.0,28.1,11.9,17.4,18.1,18.0,0.0,10.799999999999974,33.999999999999986,56.899999999999935,64.99999999999993,89.79999999999993,18.52799999999999,17.057142857142864,121.0
2020-07-19,19.07.20 00:00,73,0.0,34.4,12.6,18.4,18.3,18.2,0.0,10.799999999999974,33.999999999999986,36.89999999999995,64.99999999999993,64.99999999999993,18.44399999999999,17.18571428571429,118.0
2020-07-20,20.07.20 00:00,71,0.0,41.1,13.5,20.1,18.7,18.4,0.0,10.799999999999974,33.999999999999986,36.89999999999995,64.99999999999993,64.99999999999993,18.43199999999999,17.51428571428572,116.0
2020-07-21,21.07.20 00:00,83,1.0,47.9,14.3,20.1,19.0,18.7,0.6000000000000001,11.399999999999974,34.59999999999999,37.49999999999995,65.49999999999993,65.59999999999992,18.419999999999995,17.81428571428572,114.0
2020-07-22,22.07.20 00:00,82,0.0,51.2,15.0,20.8,19.3,18.9,0.0,9.999999999999973,34.59999999999999,34.79999999999995,64.69999999999993,65.59999999999992,18.435999999999993,18.428571428571438,107.0
2020-07-23,23.07.20 00:00,73,0.0,56.6,15.9,21.1,19.5,19.0,0.0,2.3999999999999764,24.299999999999986,34.599999999999945,57.49999999999993,65.59999999999992,18.495999999999995,19.171428571428578,101.0
2020-07-24,24.07.20 00:00,85,5.6,61.5,16.6,17.3,19.4,19.1,4.000000000000001,4.5999999999999766,15.39999999999999,38.599999999999945,41.49999999999994,69.59999999999992,18.511999999999997,19.31428571428572,97.0
2020-07-25,25.07.20 00:00,76,0.0,62.5,17.4,19.4,18.9,18.8,0.0,4.5999999999999766,15.39999999999999,38.599999999999945,41.49999999999994,69.59999999999992,18.551999999999996,19.600000000000005,106.0
2020-07-26,26.07.20 00:00,77,1.5,64.2,18.5,20.3,19.3,19.0,1.4000000000000001,5.999999999999977,16.79999999999999,39.99999999999994,42.89999999999994,70.89999999999993,18.507999999999996,19.871428571428577,105.0
2020-07-27,27.07.20 00:00,72,0.0,66.4,20.2,21.6,19.3,19.0,0.0,5.999999999999977,16.79999999999999,39.99999999999994,40.19999999999994,70.09999999999994,18.624,20.085714285714293,100.0
2020-07-28,28.07.20 00:00,74,4.1,68.0,22.2,23.0,19.8,19.4,2.7,8.099999999999978,18.099999999999987,42.699999999999946,42.69999999999994,65.59999999999994,18.875999999999998,20.500000000000007,103.0
2020-07-29,29.07.20 00:00,68,0.0,68.8,24.6,22.0,20.2,19.7,0.0,8.099999999999978,10.49999999999999,42.699999999999946,42.69999999999994,45.59999999999995,19.035999999999998,20.671428571428578,100.0
2020-07-30,30.07.20 00:00,67,0.0,70.1,28.4,22.2,20.0,19.7,0.0,8.099999999999978,8.699999999999989,32.39999999999995,42.69999999999994,45.59999999999995,19.112,20.828571428571433,104.0
2020-07-31,31.07.20 00:00,70,0.0,70.1,33.8,25.3,20.5,20.0,0.0,4.099999999999977,8.699999999999989,19.49999999999995,42.69999999999994,45.59999999999995,19.412,21.97142857142858,104.0
2020-05-08,05.08.20 00:00,80,0.0,1.9,1.7,16.0,17.6,17.8,0.0,52.799999999999976,60.89999999999999,63.299999999999955,72.29999999999995,95.49999999999994,19.159999999999997,19.35714285714286,82.0
2020-06-08,06.08.20 00:00,80,0.0,2.6,2.4,18.3,18.1,18.1,0.0,52.799999999999976,56.89999999999999,61.49999999999996,72.29999999999995,95.49999999999994,19.191999999999997,18.800000000000008,110.0
2020-07-08,07.08.20 00:00,81,0.0,3.2,3.0,20.6,18.7,18.5,0.0,52.799999999999976,56.89999999999999,61.49999999999996,72.29999999999995,95.49999999999994,19.303999999999995,18.128571428571437,118.0
